Width,Height,Eccentricity,Moore Length,Slopes,DirectionSum,Y
16,29,0.551724,76,5,51,4
15,28,0.535714,102,6,36,3
18,29,0.620690,103,3,23,9
18,29,0.620690,116,4,28,3
15,29,0.517241,111,6,48,5
18,29,0.620690,101,2,22,9
18,29,0.620690,77,0,12,0
18,29,0.620690,111,4,40,2
15,29,0.517241,111,6,48,5
18,29,0.620690,101,2,22,9
18,29,0.620690,77,0,12,0
18,29,0.620690,111,4,40,2
15,29,0.517241,111,5,47,5
18,29,0.620690,102,3,23,9
18,29,0.620690,77,0,12,0
18,28,0.642857,113,4,36,2
15,29,0.517241,112,6,48,5
18,29,0.620690,99,3,23,9
18,29,0.620690,79,1,13,0
16,28,0.571429,106,4,36,2
16,29,0.551724,113,4,44,5
18,29,0.620690,96,4,24,9
18,29,0.620690,77,0,12,0
18,29,0.620690,112,4,40,2
16,29,0.551724,112,5,45,5
18,29,0.620690,97,3,23,9
18,29,0.620690,78,0,12,0
16,28,0.571429,103,5,35,2
16,29,0.551724,112,6,48,5
18,29,0.620690,102,2,22,9
18,29,0.620690,78,1,13,0
18,29,0.620690,110,4,40,2
16,29,0.551724,111,6,48,5
18,29,0.620690,99,4,24,9
18,29,0.620690,77,2,16,0
17,29,0.586207,111,4,40,2
16,29,0.551724,109,6,46,5
17,29,0.586207,99,3,19,9
18,29,0.620690,78,1,13,0
17,28,0.607143,112,4,40,2
16,29,0.551724,109,6,46,5
16,29,0.551724,93,4,30,9
18,29,0.620690,78,2,16,0
17,28,0.607143,110,4,40,2
18,29,0.620690,123,5,45,5
16,29,0.551724,93,5,27,9
18,29,0.620690,76,1,13,0
15,29,0.517241,104,5,39,2
17,29,0.586207,87,4,46,7
18,29,0.620690,81,0,12,0
18,29,0.620690,79,0,12,8
18,29,0.620690,77,5,43,4
16,28,0.571429,83,4,46,7
17,29,0.586207,79,0,12,0
17,29,0.586207,80,0,12,8
18,29,0.620690,76,5,39,4
18,28,0.642857,88,4,46,7
17,29,0.586207,87,4,46,7
18,29,0.620690,81,0,12,0
18,29,0.620690,79,0,12,8
18,29,0.620690,77,5,43,4
16,28,0.571429,83,4,46,7
17,29,0.586207,79,0,12,0
17,29,0.586207,80,0,12,8
18,29,0.620690,76,5,39,4
18,28,0.642857,88,4,46,7
18,29,0.620690,78,0,12,0
18,29,0.620690,79,0,12,8
18,29,0.620690,78,5,43,4
18,29,0.620690,88,4,40,7
18,29,0.620690,79,0,12,0
18,29,0.620690,79,0,12,8
18,29,0.620690,79,4,40,4
18,29,0.620690,87,4,46,7
18,29,0.620690,79,1,15,0
17,29,0.586207,79,0,12,8
18,29,0.620690,75,5,39,4
16,29,0.551724,83,4,46,7
18,29,0.620690,80,0,12,0
18,29,0.620690,79,0,12,8
18,29,0.620690,79,5,43,4
16,29,0.551724,84,4,46,7
17,29,0.586207,77,1,15,0
17,29,0.586207,78,1,15,8
18,29,0.620690,76,6,54,4
18,29,0.620690,88,4,40,7
18,29,0.620690,78,1,15,0
18,29,0.620690,80,0,12,8
18,29,0.620690,78,5,43,4
16,29,0.551724,84,4,46,7
18,29,0.620690,80,0,12,0
17,29,0.586207,78,0,12,8
18,29,0.620690,77,6,54,4
16,29,0.551724,83,4,46,7
18,29,0.620690,77,1,15,0
18,29,0.620690,80,0,12,8
18,29,0.620690,76,5,43,4
16,28,0.571429,114,7,49,5
16,29,0.551724,83,4,46,7
18,29,0.620690,98,1,15,9
18,29,0.620690,99,1,13,9
16,28,0.571429,111,7,53,5
16,29,0.551724,82,4,46,7
17,29,0.586207,95,2,16,9
18,29,0.620690,100,0,12,9
16,29,0.551724,112,5,43,5
16,29,0.551724,82,4,46,7
18,29,0.620690,99,1,15,9
16,29,0.551724,94,2,18,9
16,29,0.551724,113,5,45,5
17,29,0.586207,85,4,46,7
18,29,0.620690,98,1,15,9
18,29,0.620690,99,0,12,9
16,29,0.551724,117,6,46,5
16,29,0.551724,83,4,46,7
18,29,0.620690,98,1,15,9
18,29,0.620690,99,0,12,9
16,29,0.551724,113,7,49,5
16,29,0.551724,84,4,46,7
16,29,0.551724,93,2,20,9
16,29,0.551724,96,1,15,9
16,29,0.551724,113,7,49,5
17,29,0.586207,84,4,46,7
18,29,0.620690,97,1,15,9
18,29,0.620690,98,0,12,9
16,29,0.551724,112,5,43,5
16,29,0.551724,83,4,46,7
18,29,0.620690,99,1,15,9
16,29,0.551724,92,3,21,9
16,29,0.551724,112,7,49,5
16,29,0.551724,83,4,46,7
18,29,0.620690,97,1,15,9
16,29,0.551724,96,1,13,9
17,29,0.586207,121,6,44,5
16,29,0.551724,82,4,46,7
18,29,0.620690,99,1,15,9
18,29,0.620690,100,0,12,9
18,29,0.620690,100,2,34,6
18,29,0.620690,102,2,34,6
16,29,0.551724,95,3,37,6
16,29,0.551724,75,5,49,4
18,29,0.620690,97,2,34,6
16,29,0.551724,93,3,37,6
16,29,0.551724,95,4,42,6
16,29,0.551724,74,5,43,4
16,29,0.551724,96,2,34,6
17,29,0.586207,98,2,34,6
17,29,0.586207,101,2,34,6
16,29,0.551724,74,5,51,4
17,29,0.586207,97,2,34,6
18,29,0.620690,98,2,34,6
17,29,0.586207,98,2,34,6
18,29,0.620690,77,5,49,4
18,29,0.620690,99,2,34,6
18,29,0.620690,100,2,34,6
18,29,0.620690,98,2,34,6
